model,model_lm,testset,wer,cer
train-100,False,test.tsv,0.11,0.05
train-80,False,test.tsv,0.13,0.05
train-60,False,test.tsv,0.16,0.06
train-40,False,test.tsv,0.37,0.14
train-20,False,test.tsv,0.98,0.78
wav2vec2-large-robust-ft-swbd-300h,False,test.tsv,0.37,0.22
b-1,False,bootstrap-1-test20.tsv,0.22,0.09
b-2,False,bootstrap-2-test20.tsv,0.23,0.09
b-3,False,bootstrap-3-test20.tsv,0.15,0.06
b-4,False,bootstrap-4-test20.tsv,0.2,0.08
b-5,False,bootstrap-5-test20.tsv,0.23,0.09
b-6,False,bootstrap-6-test20.tsv,0.17,0.07
b-7,False,bootstrap-7-test20.tsv,0.18,0.07
b-8,False,bootstrap-8-test20.tsv,0.15,0.06
b-9,False,bootstrap-9-test20.tsv,0.18,0.07
b-10,False,bootstrap-10-test20.tsv,0.19,0.07
b-1,True,bootstrap-1-test20.tsv,0.13,0.06
b-2,True,bootstrap-2-test20.tsv,0.11,0.05
b-3,True,bootstrap-3-test20.tsv,0.13,0.06
b-4,True,bootstrap-4-test20.tsv,0.13,0.06
b-5,True,bootstrap-5-test20.tsv,0.13,0.06
b-6,True,bootstrap-6-test20.tsv,0.18,0.08
b-7,True,bootstrap-7-test20.tsv,0.15,0.07
b-8,True,bootstrap-8-test20.tsv,0.11,0.05
b-9,True,bootstrap-9-test20.tsv,0.17,0.08
b-10,True,bootstrap-10-test20.tsv,0.14,0.06
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-1-test20.tsv,0.36,0.23
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-2-test20.tsv,0.37,0.22
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-3-test20.tsv,0.35,0.22
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-4-test20.tsv,0.34,0.21
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-5-test20.tsv,0.38,0.24
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-6-test20.tsv,0.36,0.24
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-7-test20.tsv,0.35,0.22
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-8-test20.tsv,0.34,0.22
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-9-test20.tsv,0.38,0.25
wav2vec2-large-robust-ft-swbd-300h,False,bootstrap-10-test20.tsv,0.34,0.21
