i,k,f1
0,1,0.657
0,5,0.845
0,10,0.888
0,25,0.879
0,50,0.878
0,-1,0.94
1,1,0.608
1,5,0.782
1,10,0.828
1,25,0.881
1,50,0.898
1,-1,0.947
2,1,0.532
2,5,0.812
2,10,0.845
2,25,0.884
2,50,0.91
2,-1,0.949
3,1,0.841
3,5,0.818
3,10,0.844
3,25,0.894
3,50,0.897
3,-1,0.941
4,1,0.623
4,5,0.875
4,10,0.876
4,25,0.894
4,50,0.899
4,-1,0.933
5,1,0.498
5,5,0.848
5,10,0.883
5,25,0.91
5,50,0.904
5,-1,0.932
6,1,0.52
6,5,0.834
6,10,0.85
6,25,0.879
6,50,0.898
6,-1,0.941
7,1,0.754
7,5,0.707
7,10,0.828
7,25,0.9
7,50,0.924
7,-1,0.941
8,1,0.745
8,5,0.779
8,10,0.866
8,25,0.893
8,50,0.909
8,-1,0.945
9,1,0.639
9,5,0.786
9,10,0.84
9,25,0.853
9,50,0.895
9,-1,0.94
10,1,0.659
10,5,0.853
10,10,0.881
10,25,0.906
10,50,0.917
10,-1,0.939
11,1,0.767
11,5,0.845
11,10,0.831
11,25,0.872
11,50,0.891
11,-1,0.934
12,1,0.58
12,5,0.876
12,10,0.884
12,25,0.897
12,50,0.897
12,-1,0.938
13,1,0.679
13,5,0.858
13,10,0.883
13,25,0.894
13,50,0.899
13,-1,0.94
14,1,0.754
14,5,0.823
14,10,0.84
14,25,0.874
14,50,0.903
14,-1,0.951
15,1,0.619
15,5,0.763
15,10,0.857
15,25,0.891
15,50,0.908
15,-1,0.935
16,1,0.837
16,5,0.826
16,10,0.876
16,25,0.87
16,50,0.883
16,-1,0.935
17,1,0.784
17,5,0.841
17,10,0.879
17,25,0.899
17,50,0.916
17,-1,0.952
18,1,0.648
18,5,0.844
18,10,0.847
18,25,0.849
18,50,0.897
18,-1,0.945
19,1,0.818
19,5,0.848
19,10,0.891
19,25,0.896
19,50,0.904
19,-1,0.912
20,1,0.616
20,5,0.803
20,10,0.817
20,25,0.889
20,50,0.898
20,-1,0.939
21,1,0.694
21,5,0.826
21,10,0.885
21,25,0.896
21,50,0.912
21,-1,0.928
22,1,0.37
22,5,0.858
22,10,0.911
22,25,0.913
22,50,0.912
22,-1,0.942
23,1,0.435
23,5,0.794
23,10,0.875
23,25,0.893
23,50,0.905
23,-1,0.934
24,1,0.799
24,5,0.87
24,10,0.883
24,25,0.895
24,50,0.903
24,-1,0.927
25,1,0.441
25,5,0.872
25,10,0.884
25,25,0.894
25,50,0.911
25,-1,0.933
26,1,0.769
26,5,0.861
26,10,0.873
26,25,0.905
26,50,0.906
26,-1,0.933
27,1,0.744
27,5,0.797
27,10,0.887
27,25,0.911
27,50,0.92
27,-1,0.931
28,1,0.769
28,5,0.887
28,10,0.875
28,25,0.919
28,50,0.915
28,-1,0.948
29,1,0.669
29,5,0.896
29,10,0.908
29,25,0.913
29,50,0.917
29,-1,0.948
30,1,0.811
30,5,0.801
30,10,0.827
30,25,0.885
30,50,0.887
30,-1,0.931
31,1,0.801
31,5,0.858
31,10,0.826
31,25,0.813
31,50,0.879
31,-1,0.927
32,1,0.678
32,5,0.838
32,10,0.875
32,25,0.89
32,50,0.905
32,-1,0.931
33,1,0.73
33,5,0.844
33,10,0.845
33,25,0.895
33,50,0.893
33,-1,0.939
34,1,0.481
34,5,0.824
34,10,0.871
34,25,0.905
34,50,0.923
34,-1,0.933
35,1,0.695
35,5,0.826
35,10,0.872
35,25,0.857
35,50,0.911
35,-1,0.942
36,1,0.804
36,5,0.858
36,10,0.876
36,25,0.866
36,50,0.882
36,-1,0.934
37,1,0.596
37,5,0.847
37,10,0.878
37,25,0.887
37,50,0.9
37,-1,0.93
38,1,0.756
38,5,0.83
38,10,0.869
38,25,0.909
38,50,0.903
38,-1,0.929
39,1,0.802
39,5,0.832
39,10,0.824
39,25,0.872
39,50,0.882
39,-1,0.941
40,1,0.347
40,5,0.766
40,10,0.839
40,25,0.877
40,50,0.901
40,-1,0.942
41,1,0.557
41,5,0.798
41,10,0.825
41,25,0.858
41,50,0.881
41,-1,0.943
42,1,0.789
42,5,0.804
42,10,0.812
42,25,0.894
42,50,0.905
42,-1,0.943
43,1,0.318
43,5,0.837
43,10,0.891
43,25,0.898
43,50,0.909
43,-1,0.939
44,1,0.685
44,5,0.815
44,10,0.882
44,25,0.874
44,50,0.893
44,-1,0.936
45,1,0.465
45,5,0.826
45,10,0.872
45,25,0.859
45,50,0.902
45,-1,0.947
46,1,0.284
46,5,0.845
46,10,0.889
46,25,0.873
46,50,0.901
46,-1,0.938
47,1,0.758
47,5,0.827
47,10,0.869
47,25,0.888
47,50,0.899
47,-1,0.955
48,1,0.6
48,5,0.604
48,10,0.852
48,25,0.881
48,50,0.883
48,-1,0.922
49,1,0.295
49,5,0.864
49,10,0.888
49,25,0.905
49,50,0.908
49,-1,0.946
50,1,0.748
50,5,0.744
50,10,0.857
50,25,0.916
